# retrieved from http://www.ensembl.org/biomart/martview/d81b6aef15e4e70f94d34db8b8f23110?VIRTUALSCHEMANAME=default&ATTRIBUTES=drerio_gene_ensembl.default.homologs.ensembl_gene_id|drerio_gene_ensembl.default.homologs.external_gene_name|drerio_gene_ensembl.default.homologs.mmusculus_homolog_ensembl_gene|drerio_gene_ensembl.default.homologs.mmusculus_homolog_associated_gene_name&FILTERS=drerio_gene_ensembl.default.filters.with_mmusculus_homolog.only&VISIBLEPANEL=attributepanel
Gene stable ID,Gene name,Mouse gene stable ID,Mouse gene name
ENSDARG00000094557,nupr1b,ENSMUSG00000095789,Nupr1l
ENSDARG00000094557,nupr1b,ENSMUSG00000030717,Nupr1
ENSDARG00000088807,klhl22,ENSMUSG00000022750,Klhl22
ENSDARG00000098201,mtmr3,ENSMUSG00000034354,Mtmr3
ENSDARG00000099705,foxred1,ENSMUSG00000039048,Foxred1
ENSDARG00000014746,rbfox1,ENSMUSG00000008658,Rbfox1
ENSDARG00000074623,tbc1d31,ENSMUSG00000022364,Tbc1d31
ENSDARG00000100822,mapk15,ENSMUSG00000063704,Mapk15
ENSDARG00000055797,cnpy4,ENSMUSG00000036968,Cnpy4
ENSDARG00000021147,nipal3,ENSMUSG00000028803,Nipal3
ENSDARG00000076811,ganab,ENSMUSG00000071650,Ganab
ENSDARG00000058903,si:ch211-237c6.4,ENSMUSG00000040836,Gpr161
ENSDARG00000061479,thsd7aa,ENSMUSG00000032625,Thsd7a
ENSDARG00000059311,dpysl5b,ENSMUSG00000029168,Dpysl5
ENSDARG00000014670,colgalt2,ENSMUSG00000032649,Colgalt2
ENSDARG00000002131,celf2,ENSMUSG00000002107,Celf2
ENSDARG00000036625,polr2f,ENSMUSG00000033020,Polr2f
ENSDARG00000101652,haus6,ENSMUSG00000038047,Haus6
ENSDARG00000069196,ebf1b,ENSMUSG00000057098,Ebf1
ENSDARG00000008131,sox1b,ENSMUSG00000096014,Sox1
ENSDARG00000104111,mrps30,ENSMUSG00000021731,Mrps30
ENSDARG00000057037,kcnk12l,ENSMUSG00000024936,Kcnk7
ENSDARG00000011233,pcyt1aa,ENSMUSG00000005615,Pcyt1a
ENSDARG00000071095,abi3bpb,ENSMUSG00000035258,Abi3bp
ENSDARG00000003944,nmur1b,ENSMUSG00000026237,Nmur1
ENSDARG00000071211,zgc:112255,ENSMUSG00000078584,AU022252
ENSDARG00000044627,alg8,ENSMUSG00000035704,Alg8
ENSDARG00000059887,eral1,ENSMUSG00000020832,Eral1
ENSDARG00000056112,pikfyve,ENSMUSG00000025949,Pikfyve
ENSDARG00000037155,si:dkey-78k11.9,ENSMUSG00000043659,Npsr1
ENSDARG00000060748,tsfm,ENSMUSG00000040521,Tsfm
ENSDARG00000011934,gyg1a,ENSMUSG00000019528,Gyg
ENSDARG00000014591,ilf2,ENSMUSG00000001016,Ilf2
ENSDARG00000027589,fzd7b,ENSMUSG00000041075,Fzd7
ENSDARG00000031136,moxd1,ENSMUSG00000020000,Moxd1
ENSDARG00000091614,si:dkey-62k3.6,ENSMUSG00000019461,Plscr3
ENSDARG00000091614,si:dkey-62k3.6,ENSMUSG00000095654,Plscr5
ENSDARG00000091614,si:dkey-62k3.6,ENSMUSG00000032377,Plscr4
ENSDARG00000033551,fbxw4,ENSMUSG00000040913,Fbxw4
ENSDARG00000000349,cfap300,ENSMUSG00000053070,Cfap300
ENSDARG00000060946,pip5kl1,ENSMUSG00000046854,Pip5kl1
ENSDARG00000069438,neurl1aa,ENSMUSG00000006435,Neurl1a
ENSDARG00000091111,si:ch211-15b10.6,ENSMUSG00000049625,Tifab
ENSDARG00000005485,ucmab,ENSMUSG00000026668,Ucma
ENSDARG00000086874,si:ch211-232i5.3,ENSMUSG00000078612,Fyb2
ENSDARG00000086874,si:ch211-232i5.3,ENSMUSG00000022148,Fyb
ENSDARG00000102606,znf1158,ENSMUSG00000068959,Zfp619
ENSDARG00000030616,nfe2l1a,ENSMUSG00000038615,Nfe2l1
ENSDARG00000103595,sfxn5a,ENSMUSG00000033720,Sfxn5
ENSDARG00000037955,pih1d1,ENSMUSG00000003423,Pih1d1
ENSDARG00000039535,dapp1,ENSMUSG00000028159,Dapp1
ENSDARG00000062727,cep290,ENSMUSG00000019971,Cep290
ENSDARG00000077994,b4galt2,ENSMUSG00000028541,B4galt2
ENSDARG00000035732,arntl1b,ENSMUSG00000055116,Arntl
ENSDARG00000054864,aplp2,ENSMUSG00000031996,Aplp2
ENSDARG00000017657,zgc:112163,ENSMUSG00000079144,A130010J15Rik
ENSDARG00000025593,plekhj1,ENSMUSG00000035278,Plekhj1
ENSDARG00000105394,gemin6,ENSMUSG00000055760,Gemin6
ENSDARG00000087647,sept7a,ENSMUSG00000001833,Sept7
ENSDARG00000075962,vav3b,ENSMUSG00000033721,Vav3
ENSDARG00000029866,slc6a14,ENSMUSG00000031089,Slc6a14
ENSDARG00000038059,grb2b,ENSMUSG00000059923,Grb2
ENSDARG00000045687,pdzrn4,ENSMUSG00000036218,Pdzrn4
ENSDARG00000094892,cenph,ENSMUSG00000045273,Cenph
ENSDARG00000068166,whrnb,ENSMUSG00000039137,Whrn
ENSDARG00000074311,mast2,ENSMUSG00000003810,Mast2
ENSDARG00000057855,mrps31,ENSMUSG00000031533,Mrps31
ENSDARG00000036040,atg13,ENSMUSG00000027244,Atg13
ENSDARG00000036235,zbtb3,ENSMUSG00000071661,Zbtb3
ENSDARG00000037804,phlda3,ENSMUSG00000094296,Gm21798
ENSDARG00000037804,phlda3,ENSMUSG00000041801,Phlda3
ENSDARG00000091119,fbxo40.2,ENSMUSG00000047746,Fbxo40
ENSDARG00000103607,wtip,ENSMUSG00000036459,Wtip
ENSDARG00000020895,bag1,ENSMUSG00000028416,Bag1
ENSDARG00000010773,pnpla6,ENSMUSG00000004565,Pnpla6
ENSDARG00000074502,zmiz1a,ENSMUSG00000007817,Zmiz1
ENSDARG00000056745,necab2,ENSMUSG00000031837,Necab2
ENSDARG00000040280,zgc:110182,ENSMUSG00000072568,Fam84b
ENSDARG00000091573,si:ch1073-90m23.1,ENSMUSG00000038807,Rap1gap2
ENSDARG00000115094,CABZ01087415.1,ENSMUSG00000022212,Cpne6
ENSDARG00000077119,naxd,ENSMUSG00000031505,Naxd
ENSDARG00000015314,zc4h2,ENSMUSG00000035062,Zc4h2
ENSDARG00000058692,fzd3b,ENSMUSG00000007989,Fzd3
ENSDARG00000038855,chmp5a,ENSMUSG00000028419,Chmp5
ENSDARG00000037109,pwp2h,ENSMUSG00000032834,Pwp2
ENSDARG00000076755,ap5s1,ENSMUSG00000068264,Ap5s1
ENSDARG00000076767,pgfb,ENSMUSG00000004791,Pgf
ENSDARG00000062824,alx1,ENSMUSG00000036602,Alx1
ENSDARG00000068168,hes2.2,ENSMUSG00000028940,Hes2
ENSDARG00000005186,sp4,ENSMUSG00000025323,Sp4
ENSDARG00000041921,hsbp1b,ENSMUSG00000031839,Hsbp1
ENSDARG00000077606,arsia,ENSMUSG00000036412,Arsi
ENSDARG00000077653,rabl6b,ENSMUSG00000015087,Rabl6
ENSDARG00000070624,cacng7b,ENSMUSG00000069806,Cacng7
ENSDARG00000030106,stmn4,ENSMUSG00000022044,Stmn4
ENSDARG00000038239,tnpo2,ENSMUSG00000031691,Tnpo2
ENSDARG00000043084,abhd17ab,ENSMUSG00000003346,Abhd17a
ENSDARG00000023766,gnsa,ENSMUSG00000034707,Gns
ENSDARG00000045765,asb13a.2,ENSMUSG00000033781,Asb13
ENSDARG00000038938,itprid2,ENSMUSG00000027007,Itprid2
ENSDARG00000055339,si:ch73-1a9.4,ENSMUSG00000021993,Mipep
ENSDARG00000090041,F2R (1 of many),ENSMUSG00000048376,F2r
ENSDARG00000043781,psmb10,ENSMUSG00000031897,Psmb10
ENSDARG00000071697,zgc:66433,ENSMUSG00000091556,Gm14569
ENSDARG00000038978,dnajb4,ENSMUSG00000028035,Dnajb4
ENSDARG00000057975,plcd4a,ENSMUSG00000026173,Plcd4
ENSDARG00000007989,nedd8,ENSMUSG00000010376,Nedd8
ENSDARG00000058342,grhl2a,ENSMUSG00000022286,Grhl2
ENSDARG00000028664,ahsa1a,ENSMUSG00000021037,Ahsa1
ENSDARG00000098752,csf3b,ENSMUSG00000038067,Csf3
ENSDARG00000078352,lyrm4,ENSMUSG00000074211,Sdhaf1
ENSDARG00000078352,lyrm4,ENSMUSG00000046573,Lyrm4
ENSDARG00000006396,nrcama,ENSMUSG00000020598,Nrcam
ENSDARG00000037409,tmem144a,ENSMUSG00000027956,Tmem144
ENSDARG00000090977,ifit12,ENSMUSG00000074896,Ifit3
ENSDARG00000090977,ifit12,ENSMUSG00000045932,Ifit2
ENSDARG00000090977,ifit12,ENSMUSG00000079339,Ifit1bl1
ENSDARG00000090977,ifit12,ENSMUSG00000062488,Ifit3b
ENSDARG00000090977,ifit12,ENSMUSG00000034459,Ifit1
ENSDARG00000090977,ifit12,ENSMUSG00000067297,Ifit1bl2
ENSDARG00000100737,epob,ENSMUSG00000029711,Epo
ENSDARG00000079473,map3k21,ENSMUSG00000031853,Map3k21
ENSDARG00000075954,serpinh1a,ENSMUSG00000070436,Serpinh1
ENSDARG00000077982,elf3,ENSMUSG00000003051,Elf3
ENSDARG00000017983,rsph14,ENSMUSG00000009070,Rsph14
ENSDARG00000036161,hnrnpa0l,ENSMUSG00000099115,Gm17190
ENSDARG00000036161,hnrnpa0l,ENSMUSG00000059005,Hnrnpa3
ENSDARG00000019930,tal1,ENSMUSG00000028717,Tal1
ENSDARG00000043858,cdk19,ENSMUSG00000038481,Cdk19
ENSDARG00000039832,gsta.2,ENSMUSG00000111709,Gm3776
ENSDARG00000039832,gsta.2,ENSMUSG00000074179,Gm10639
ENSDARG00000039832,gsta.2,ENSMUSG00000057933,Gsta2
ENSDARG00000039832,gsta.2,ENSMUSG00000074183,Gsta1
ENSDARG00000076991,dolk,ENSMUSG00000075419,Dolk
ENSDARG00000037895,ramp2,ENSMUSG00000001240,Ramp2
ENSDARG00000007988,masp2,ENSMUSG00000028979,Masp2
ENSDARG00000018285,pdpk1b,ENSMUSG00000024122,Pdpk1
ENSDARG00000045038,tekt3,ENSMUSG00000042189,Tekt3
ENSDARG00000045038,tekt3,ENSMUSG00000039179,Tekt5
ENSDARG00000069117,kcnh5b,ENSMUSG00000034402,Kcnh5
ENSDARG00000056832,exo1,ENSMUSG00000039748,Exo1
ENSDARG00000074777,ank1b,ENSMUSG00000031543,Ank1
ENSDARG00000042853,ivd,ENSMUSG00000027332,Ivd
ENSDARG00000012555,ak5,ENSMUSG00000039058,Ak5
ENSDARG00000112579,cmss1,ENSMUSG00000022748,Cmss1
ENSDARG00000008209,myt1la,ENSMUSG00000061911,Myt1l
ENSDARG00000091419,nrarpa,ENSMUSG00000078202,Nrarp
ENSDARG00000042210,sema3ab,ENSMUSG00000028883,Sema3a
ENSDARG00000057234,chtopa,ENSMUSG00000001017,Chtop
ENSDARG00000042379,zgc:103681,ENSMUSG00000039886,Tmem120a
ENSDARG00000022532,chrnb1l,ENSMUSG00000041189,Chrnb1
ENSDARG00000074471,vps39,ENSMUSG00000027291,Vps39
ENSDARG00000055481,atf7b,ENSMUSG00000099083,Atf7
ENSDARG00000055481,atf7b,ENSMUSG00000052414,Gm28047
ENSDARG00000087554,cdk1,ENSMUSG00000019942,Cdk1
ENSDARG00000027472,gphb5,ENSMUSG00000048982,Gphb5
ENSDARG00000021945,ddx23,ENSMUSG00000003360,Ddx23
ENSDARG00000057790,ankrd6a,ENSMUSG00000040183,Ankrd6
ENSDARG00000104752,COLEC10,ENSMUSG00000038591,Colec10
ENSDARG00000015989,zdhhc16b,ENSMUSG00000025157,Zdhhc16
ENSDARG00000032885,si:ch211-226m7.4,ENSMUSG00000028589,1700012P22Rik
ENSDARG00000040332,crfb2,ENSMUSG00000062157,Ifnlr1
ENSDARG00000027418,trappc4,ENSMUSG00000032112,Trappc4
ENSDARG00000035630,ypel1,ENSMUSG00000022773,Ypel1
ENSDARG00000056550,tango2,ENSMUSG00000013539,Tango2
ENSDARG00000099342,crfb15,ENSMUSG00000020009,Ifngr1
ENSDARG00000099342,crfb15,ENSMUSG00000037157,Il22ra1
ENSDARG00000099342,crfb15,ENSMUSG00000032089,Il10ra
ENSDARG00000099342,crfb15,ENSMUSG00000022971,Ifnar2
ENSDARG00000058302,sh3bgrl,ENSMUSG00000031246,Sh3bgrl
ENSDARG00000036912,edn1,ENSMUSG00000021367,Edn1
ENSDARG00000033376,chchd4a,ENSMUSG00000034203,Chchd4
ENSDARG00000033376,chchd4a,ENSMUSG00000081044,AU015836
ENSDARG00000032866,erh,ENSMUSG00000021131,Erh
ENSDARG00000032866,erh,ENSMUSG00000063412,Gm10131
ENSDARG00000076657,plagl2,ENSMUSG00000100512,Ovol3
ENSDARG00000076657,plagl2,ENSMUSG00000054939,Zfp174
ENSDARG00000076657,plagl2,ENSMUSG00000058638,Zfp110
ENSDARG00000076657,plagl2,ENSMUSG00000021514,Zfp369
ENSDARG00000076657,plagl2,ENSMUSG00000046229,Scand1
ENSDARG00000076657,plagl2,ENSMUSG00000033961,Zfp446
ENSDARG00000076657,plagl2,ENSMUSG00000040321,Zfp770
ENSDARG00000076657,plagl2,ENSMUSG00000050619,Zscan29
ENSDARG00000076657,plagl2,ENSMUSG00000022987,Zfp641
ENSDARG00000076657,plagl2,ENSMUSG00000044876,Zfp444
ENSDARG00000076657,plagl2,ENSMUSG00000070822,Zscan18
ENSDARG00000076657,plagl2,ENSMUSG00000018347,Zkscan6
ENSDARG00000076657,plagl2,ENSMUSG00000051413,Plagl2
ENSDARG00000076657,plagl2,ENSMUSG00000025602,Zfp202
ENSDARG00000076657,plagl2,ENSMUSG00000030757,Zkscan2
ENSDARG00000076657,plagl2,ENSMUSG00000019817,Plagl1
ENSDARG00000076657,plagl2,ENSMUSG00000002265,Peg3
ENSDARG00000076657,plagl2,ENSMUSG00000058028,Zscan5b
ENSDARG00000076657,plagl2,ENSMUSG00000020472,Zkscan17
ENSDARG00000029928,ap3m1,ENSMUSG00000021824,Ap3m1
ENSDARG00000032553,egln3,ENSMUSG00000035105,Egln3
ENSDARG00000043283,prrg1,ENSMUSG00000047996,Prrg1
ENSDARG00000104708,ddx24,ENSMUSG00000041645,Ddx24
ENSDARG00000091902,b3gnt2b,ENSMUSG00000051650,B3gnt2
ENSDARG00000102023,phf13,ENSMUSG00000047777,Phf13
ENSDARG00000013295,slc2a3a,ENSMUSG00000003153,Slc2a3
ENSDARG00000104500,fyco1a,ENSMUSG00000025241,Fyco1
ENSDARG00000006174,lrrc23,ENSMUSG00000030125,Lrrc23
ENSDARG00000105324,si:dkey-11o1.7,ENSMUSG00000070796,Psg21
ENSDARG00000105324,si:dkey-11o1.7,ENSMUSG00000030472,Ceacam18
ENSDARG00000105324,si:dkey-11o1.7,ENSMUSG00000070799,Psg26
ENSDARG00000105324,si:dkey-11o1.7,ENSMUSG00000023185,Ceacam14
ENSDARG00000105324,si:dkey-11o1.7,ENSMUSG00000070777,Ceacam20
ENSDARG00000105324,si:dkey-11o1.7,ENSMUSG00000030366,Ceacam12
ENSDARG00000105324,si:dkey-11o1.7,ENSMUSG00000004542,Psg19
ENSDARG00000105324,si:dkey-11o1.7,ENSMUSG00000003505,Psg18
ENSDARG00000105324,si:dkey-11o1.7,ENSMUSG00000054385,Ceacam2
ENSDARG00000105324,si:dkey-11o1.7,ENSMUSG00000078795,Ceacam15
ENSDARG00000105324,si:dkey-11o1.7,ENSMUSG00000023159,Psg29
ENSDARG00000105324,si:dkey-11o1.7,ENSMUSG00000070797,Psg27
ENSDARG00000105324,si:dkey-11o1.7,ENSMUSG00000008789,Ceacam5
ENSDARG00000105324,si:dkey-11o1.7,ENSMUSG00000070798,Psg25
ENSDARG00000105324,si:dkey-11o1.7,ENSMUSG00000054169,Ceacam10
ENSDARG00000105324,si:dkey-11o1.7,ENSMUSG00000004540,Psg17
ENSDARG00000105324,si:dkey-11o1.7,ENSMUSG00000007209,Ceacam9
ENSDARG00000105324,si:dkey-11o1.7,ENSMUSG00000030373,Psg28
ENSDARG00000105324,si:dkey-11o1.7,ENSMUSG00000078793,Gm5155
ENSDARG00000105324,si:dkey-11o1.7,ENSMUSG00000044903,Psg22
ENSDARG00000105324,si:dkey-11o1.7,ENSMUSG00000074272,Ceacam1
ENSDARG00000105324,si:dkey-11o1.7,ENSMUSG00000053228,Ceacam3
ENSDARG00000105324,si:dkey-11o1.7,ENSMUSG00000074359,Psg23
ENSDARG00000105324,si:dkey-11o1.7,ENSMUSG00000066760,Psg16
ENSDARG00000105324,si:dkey-11o1.7,ENSMUSG00000057195,Ceacam13
ENSDARG00000105324,si:dkey-11o1.7,ENSMUSG00000063305,Psg20
ENSDARG00000105324,si:dkey-11o1.7,ENSMUSG00000030368,Ceacam11
ENSDARG00000105324,si:dkey-11o1.7,ENSMUSG00000014686,Ceacam16
ENSDARG00000062686,megf11,ENSMUSG00000036466,Megf11
ENSDARG00000017605,rpp40,ENSMUSG00000021418,Rpp40
ENSDARG00000020447,tmtc4,ENSMUSG00000041594,Tmtc4
ENSDARG00000060006,nedd4l,ENSMUSG00000024589,Nedd4l
ENSDARG00000054847,xcr1a.1,ENSMUSG00000060509,Xcr1
ENSDARG00000045864,lmod2b,ENSMUSG00000029683,Lmod2
ENSDARG00000016886,dnajb9b,ENSMUSG00000014905,Dnajb9
ENSDARG00000055524,rnf7,ENSMUSG00000051234,Rnf7
ENSDARG00000055524,rnf7,ENSMUSG00000048185,Gm7075
ENSDARG00000010482,prg4a,ENSMUSG00000006014,Prg4
ENSDARG00000009315,clgn,ENSMUSG00000002190,Clgn
ENSDARG00000077205,zgc:153116,ENSMUSG00000047264,Zfp358
ENSDARG00000077205,zgc:153116,ENSMUSG00000049728,Zfp668
ENSDARG00000077205,zgc:153116,ENSMUSG00000051550,Zfp579
ENSDARG00000005002,brf1b,ENSMUSG00000011158,Brf1
ENSDARG00000071086,gpr155b,ENSMUSG00000041762,Gpr155
ENSDARG00000077026,si:dkey-94e7.1,ENSMUSG00000053101,Gpr141
ENSDARG00000077101,zbtb10,ENSMUSG00000069114,Zbtb10
ENSDARG00000042839,dph6,ENSMUSG00000057147,Dph6
ENSDARG00000095174,CU695074.1,ENSMUSG00000035697,Arhgap45
ENSDARG00000091555,ostf1,ENSMUSG00000024725,Ostf1
ENSDARG00000097718,stard10,ENSMUSG00000030688,Stard10
ENSDARG00000099667,snrpg,ENSMUSG00000057278,Snrpg
ENSDARG00000062489,march8,ENSMUSG00000025702,March8
ENSDARG00000039459,qsox1,ENSMUSG00000033684,Qsox1
ENSDARG00000063169,ubn1,ENSMUSG00000039473,Ubn1
ENSDARG00000017047,slc27a4,ENSMUSG00000059316,Slc27a4
ENSDARG00000057484,srsf2a,ENSMUSG00000034120,Srsf2
ENSDARG00000078654,tpx2,ENSMUSG00000027469,Tpx2
ENSDARG00000062956,dagla,ENSMUSG00000035735,Dagla
ENSDARG00000099123,CU459186.2,ENSMUSG00000049932,H2afx
ENSDARG00000105366,hist1h2a10,ENSMUSG00000049932,H2afx
ENSDARG00000024669,oser1,ENSMUSG00000035399,Oser1
ENSDARG00000018921,lratd1,ENSMUSG00000020607,Fam84a
ENSDARG00000011301,nae1,ENSMUSG00000031878,Nae1
ENSDARG00000055839,march4l,ENSMUSG00000039372,March4
ENSDARG00000024139,p2rx8,ENSMUSG00000005950,P2rx5
ENSDARG00000070952,fam131ba,ENSMUSG00000029861,Fam131b
ENSDARG00000093999,si:ch73-376l24.6,ENSMUSG00000026803,Ttf1
ENSDARG00000037292,chrm1a,ENSMUSG00000032773,Chrm1
ENSDARG00000104470,syngr2b,ENSMUSG00000048277,Syngr2
ENSDARG00000056090,capza1b,ENSMUSG00000055357,4933400A11Rik
ENSDARG00000056090,capza1b,ENSMUSG00000070372,Capza1
ENSDARG00000002507,itga10,ENSMUSG00000090210,Itga10
ENSDARG00000002507,itga10,ENSMUSG00000106447,Gm42957
ENSDARG00000008075,illr4,ENSMUSG00000014542,Clec4f
ENSDARG00000093498,zgc:194281,ENSMUSG00000044768,D1Ertd622e
ENSDARG00000090815,kcnj10a,ENSMUSG00000044708,Kcnj10
ENSDARG00000079075,si:ch211-71m22.3,ENSMUSG00000019461,Plscr3
ENSDARG00000079075,si:ch211-71m22.3,ENSMUSG00000095654,Plscr5
ENSDARG00000079075,si:ch211-71m22.3,ENSMUSG00000032377,Plscr4
ENSDARG00000098753,elmo1,ENSMUSG00000041112,Elmo1
ENSDARG00000016979,pmpcb,ENSMUSG00000029017,Pmpcb
ENSDARG00000042214,tmem243a,ENSMUSG00000079659,Tmem243
ENSDARG00000076480,mcf2lb,ENSMUSG00000031442,Mcf2l
ENSDARG00000030265,scdb,ENSMUSG00000050195,Scd4
ENSDARG00000030265,scdb,ENSMUSG00000025203,Scd2
ENSDARG00000058962,txnl4b,ENSMUSG00000031723,Txnl4b
ENSDARG00000068910,nos1,ENSMUSG00000029361,Nos1
ENSDARG00000077377,si:dkey-85n7.6,ENSMUSG00000041669,Prima1
ENSDARG00000020527,nup62l,ENSMUSG00000109511,Nup62
ENSDARG00000017659,sephs2,ENSMUSG00000049091,Sephs2
ENSDARG00000007398,lrrk1,ENSMUSG00000015133,Lrrk1
ENSDARG00000092677,coa6,ENSMUSG00000051671,Coa6
ENSDARG00000069815,dnali1,ENSMUSG00000042707,Dnali1
ENSDARG00000040779,med16,ENSMUSG00000013833,Med16
ENSDARG00000006604,nectin3b,ENSMUSG00000022656,Nectin3
ENSDARG00000068404,tbcb,ENSMUSG00000006095,Tbcb
ENSDARG00000035603,dao.2,ENSMUSG00000042096,Dao
ENSDARG00000104034,arid3b,ENSMUSG00000004661,Arid3b
ENSDARG00000058425,rab35b,ENSMUSG00000029518,Rab35
ENSDARG00000016464,cdc42bpab,ENSMUSG00000026490,Cdc42bpa
ENSDARG00000017886,zbtb11,ENSMUSG00000022601,Zbtb11
ENSDARG00000015184,mpp3a,ENSMUSG00000052373,Mpp3
ENSDARG00000079873,SLC29A4 (1 of many),ENSMUSG00000050822,Slc29a4
ENSDARG00000062650,rif1,ENSMUSG00000036202,Rif1
ENSDARG00000016875,gys1,ENSMUSG00000003865,Gys1
ENSDARG00000019707,spout1,ENSMUSG00000039660,Spout1
ENSDARG00000100729,tln1,ENSMUSG00000028465,Tln1
ENSDARG00000037140,pfkfb1,ENSMUSG00000025271,Pfkfb1
ENSDARG00000035152,ap2b1,ENSMUSG00000035152,Ap2b1
ENSDARG00000057936,lhx5,ENSMUSG00000029595,Lhx5
ENSDARG00000055630,foxh1,ENSMUSG00000033837,Foxh1
ENSDARG00000022176,IGLON5,ENSMUSG00000013367,Iglon5
ENSDARG00000052522,snx11,ENSMUSG00000020876,Snx11
ENSDARG00000036831,rnf41,ENSMUSG00000025373,Rnf41
ENSDARG00000051858,ccdc33,ENSMUSG00000037716,Ccdc33
ENSDARG00000062228,adipoqa,ENSMUSG00000022878,Adipoq
ENSDARG00000078105,depdc5,ENSMUSG00000037426,Depdc5
ENSDARG00000054606,mrpl1,ENSMUSG00000029486,Mrpl1
ENSDARG00000077506,tjp1a,ENSMUSG00000030516,Tjp1
ENSDARG00000017365,slc23a2,ENSMUSG00000027340,Slc23a2
ENSDARG00000057676,golga7,ENSMUSG00000015341,Golga7
ENSDARG00000089094,si:dkey-160o24.3,ENSMUSG00000074004,B3gnt6
ENSDARG00000052016,cabp2a,ENSMUSG00000020940,1700023F06Rik
ENSDARG00000052016,cabp2a,ENSMUSG00000033765,Calm4
ENSDARG00000052016,cabp2a,ENSMUSG00000099269,Calm5
ENSDARG00000052016,cabp2a,ENSMUSG00000031347,Cetn2
ENSDARG00000022531,ntn1b,ENSMUSG00000020902,Ntn1
ENSDARG00000044914,suclg2,ENSMUSG00000061838,Suclg2
ENSDARG00000000656,psmb9a,ENSMUSG00000096727,Psmb9
ENSDARG00000043396,fndc4a,ENSMUSG00000038552,Fndc4
ENSDARG00000054334,dctpp1,ENSMUSG00000042462,Dctpp1
ENSDARG00000011299,blzf1,ENSMUSG00000026577,Blzf1
ENSDARG00000104965,kcnj12a,ENSMUSG00000042529,Kcnj12
ENSDARG00000014692,znf622,ENSMUSG00000052253,Zfp622
ENSDARG00000070698,kbtbd8,ENSMUSG00000030031,Kbtbd8
ENSDARG00000059729,sec14l8,ENSMUSG00000054986,Sec14l3
ENSDARG00000059729,sec14l8,ENSMUSG00000019368,Sec14l4
ENSDARG00000059729,sec14l8,ENSMUSG00000003585,Sec14l2
ENSDARG00000058246,cysltr1,ENSMUSG00000052821,Cysltr1
ENSDARG00000023989,pef1,ENSMUSG00000028779,Pef1
ENSDARG00000054667,adra2db,ENSMUSG00000075171,Olfr1095
ENSDARG00000054667,adra2db,ENSMUSG00000078420,Olfr141
ENSDARG00000054667,adra2db,ENSMUSG00000075167,Olfr1101
ENSDARG00000054667,adra2db,ENSMUSG00000075175,Olfr1086
ENSDARG00000054667,adra2db,ENSMUSG00000044213,Olfr1094
ENSDARG00000054667,adra2db,ENSMUSG00000049843,Olfr1102
ENSDARG00000054667,adra2db,ENSMUSG00000047969,Olfr1093
ENSDARG00000054667,adra2db,ENSMUSG00000095248,Olfr681
ENSDARG00000054667,adra2db,ENSMUSG00000096029,Olfr679
ENSDARG00000054667,adra2db,ENSMUSG00000044120,Olfr683
ENSDARG00000054667,adra2db,ENSMUSG00000047225,Olfr684
ENSDARG00000054667,adra2db,ENSMUSG00000059768,Olfr682-ps1
ENSDARG00000054667,adra2db,ENSMUSG00000041885,Olfr680-ps1
ENSDARG00000054667,adra2db,ENSMUSG00000089717,Olfr275
ENSDARG00000036833,upp2,ENSMUSG00000026839,Upp2
ENSDARG00000076398,si:dkey-201l21.4,ENSMUSG00000000486,Sept1
ENSDARG00000076398,si:dkey-201l21.4,ENSMUSG00000034219,Sept14
ENSDARG00000078569,mpeg1.3,ENSMUSG00000040065,Pfpl
ENSDARG00000078569,mpeg1.3,ENSMUSG00000046805,Mpeg1
ENSDARG00000008735,atp6ap2,ENSMUSG00000031007,Atp6ap2
ENSDARG00000095837,si:dkey-185p13.1,ENSMUSG00000009907,Vps4b
ENSDARG00000015966,yaf2,ENSMUSG00000022634,Yaf2
ENSDARG00000097650,atg2b,ENSMUSG00000041341,Atg2b
ENSDARG00000026762,fam126a,ENSMUSG00000028995,Fam126a
ENSDARG00000021201,noto,ENSMUSG00000068302,Noto
ENSDARG00000086189,mgp,ENSMUSG00000030218,Mgp
ENSDARG00000101385,f8,ENSMUSG00000031936,Hephl1
ENSDARG00000020212,slc1a1,ENSMUSG00000024935,Slc1a1
ENSDARG00000110781,prf1.7,ENSMUSG00000037202,Prf1
ENSDARG00000011026,zgc:92907,ENSMUSG00000041718,Alg13
ENSDARG00000011026,zgc:92907,ENSMUSG00000031286,Glt28d2
ENSDARG00000032324,epb41l5,ENSMUSG00000026383,Epb41l5
ENSDARG00000044125,txn,ENSMUSG00000028367,Txn1
ENSDARG00000067985,ftr23,ENSMUSG00000094311,Rfpl4b
ENSDARG00000067985,ftr23,ENSMUSG00000020496,Rnf187
ENSDARG00000067985,ftr23,ENSMUSG00000035191,Rfpl4
ENSDARG00000062173,camsap2a,ENSMUSG00000041570,Camsap2
ENSDARG00000052104,atg4b,ENSMUSG00000026280,Atg4b
ENSDARG00000075974,si:dkey-258f14.3,ENSMUSG00000032193,Ldlr
ENSDARG00000013533,hoxb4a,ENSMUSG00000038692,Hoxb4
ENSDARG00000016412,agt,ENSMUSG00000031980,Agt
ENSDARG00000103712,plpp7a,ENSMUSG00000051373,Plpp7
ENSDARG00000039820,mea1,ENSMUSG00000002768,Mea1
ENSDARG00000003127,zgc:123105,ENSMUSG00000025871,4833439L19Rik
